fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
9 may 2025,"8,52","8,89","8,26","8,48","8,48",32.559.800
8 may 2025,"8,20","8,69","8,08","8,44","8,44",30.927.100
7 may 2025,"8,00","8,06","7,68","7,84","7,84",22.582.100
6 may 2025,"7,70","7,96","7,66","7,86","7,86",23.708.300
5 may 2025,"8,15","8,18","7,67","7,90","7,90",33.472.200
2 may 2025,"7,89","8,81","7,87","8,39","8,39",53.438.700
1 may 2025,"7,49","7,97","7,40","7,77","7,77",43.539.500
30 abr 2025,"7,21","7,29","6,96","7,24","7,24",30.845.800
29 abr 2025,"7,59","7,61","7,24","7,42","7,42",43.903.400
28 abr 2025,"7,81","7,84","7,34","7,63","7,63",30.193.100
25 abr 2025,"7,90","8,05","7,71","7,77","7,77",28.068.900
24 abr 2025,"7,44","7,86","7,33","7,79","7,79",24.749.800
23 abr 2025,"7,43","7,83","7,40","7,50","7,50",40.070.500
22 abr 2025,"6,47","7,19","6,44","7,12","7,12",39.942.700
21 abr 2025,"6,49","6,67","6,26","6,29","6,29",27.824.400
17 abr 2025,"6,39","6,47","6,19","6,46","6,46",20.974.700
16 abr 2025,"6,42","6,53","6,20","6,36","6,36",34.267.400
15 abr 2025,"6,98","7,09","6,51","6,55","6,55",24.971.800
14 abr 2025,"7,34","7,39","6,91","7,01","7,01",28.604.300
11 abr 2025,"6,85","7,12","6,75","7,06","7,06",14.522.400
10 abr 2025,"7,10","7,16","6,61","6,79","6,79",18.398.400
9 abr 2025,"6,52","7,50","6,22","7,38","7,38",32.597.800
8 abr 2025,"7,43","7,43","6,30","6,54","6,54",23.423.600
7 abr 2025,"6,50","7,75","6,39","7,11","7,11",26.088.000
4 abr 2025,"7,08","7,19","6,40","7,14","7,14",20.823.400
3 abr 2025,"7,28","7,50","7,20","7,30","7,30",18.115.900
2 abr 2025,"7,33","8,06","7,30","8,02","8,02",30.412.200
1 abr 2025,"7,17","7,60","6,99","7,54","7,54",21.919.700
31 mar 2025,"7,12","7,26","6,87","7,12","7,12",21.383.800
28 mar 2025,"7,66","7,76","7,29","7,41","7,41",22.949.400
27 mar 2025,"7,75","8,18","7,66","7,77","7,77",21.902.000
26 mar 2025,"8,45","8,49","7,85","7,90","7,90",21.054.600
25 mar 2025,"8,75","8,83","8,33","8,51","8,51",30.896.700
24 mar 2025,"8,21","8,73","8,16","8,72","8,72",29.862.700
21 mar 2025,"7,62","8,03","7,50","7,95","7,95",25.519.400
20 mar 2025,"7,71","8,13","7,65","7,76","7,76",19.130.500
19 mar 2025,"7,46","7,95","7,42","7,78","7,78",19.017.200
18 mar 2025,"7,61","7,82","7,39","7,40","7,40",20.641.000
17 mar 2025,"7,69","8,00","7,57","7,76","7,76",19.650.100
14 mar 2025,"7,54","7,90","7,49","7,82","7,82",18.915.000
13 mar 2025,"7,85","7,88","7,25","7,31","7,31",18.296.900
12 mar 2025,"7,87","7,99","7,49","7,85","7,85",17.212.600
11 mar 2025,"7,63","7,86","7,24","7,72","7,72",20.290.000
10 mar 2025,"7,95","8,13","7,41","7,56","7,56",25.478.500
7 mar 2025,"8,06","8,55","7,92","8,37","8,37",25.133.700
6 mar 2025,"8,35","8,56","7,95","8,11","8,11",34.444.700
5 mar 2025,"8,66","8,92","8,43","8,88","8,88",20.823.600
4 mar 2025,"8,60","8,83","7,95","8,41","8,41",32.149.700
3 mar 2025,"10,06","10,15","8,72","8,86","8,86",36.222.500
28 feb 2025,"8,60","9,29","8,52","9,28","9,28",26.442.900
27 feb 2025,"9,48","9,72","8,60","8,66","8,66",33.221.600
26 feb 2025,"9,22","9,60","8,71","8,94","8,94",30.806.300
25 feb 2025,"9,48","9,96","8,70","9,32","9,32",42.441.200
